rf,letter,distribution
0.04477611940298507,a,1
0.007462686567164179,b,1
0.022388059701492536,c,1
0.029850746268656716,d,1
0.08955223880597014,e,1
0.03731343283582089,f,1
0.029850746268656716,g,1
0.04477611940298507,h,1
0.08208955223880597,i,1
0.0,j,1
0.022388059701492536,k,1
0.014925373134328358,l,1
0.029850746268656716,m,1
0.05970149253731343,n,1
0.08208955223880597,o,1
0.029850746268656716,p,1
0.007462686567164179,q,1
0.08955223880597014,r,1
0.06716417910447761,s,1
0.15671641791044777,t,1
0.014925373134328358,u,1
0.007462686567164179,v,1
0.022388059701492536,w,1
0.0,x,1
0.007462686567164179,y,1
0.0,z,1
0.0,a,2
0.0,b,2
0.04477611940298507,c,2
0.022388059701492536,d,2
0.07462686567164178,e,2
0.029850746268656716,f,2
0.014925373134328358,g,2
0.007462686567164179,h,2
0.029850746268656716,i,2
0.06716417910447761,j,2
0.05970149253731343,k,2
0.05970149253731343,l,2
0.007462686567164179,m,2
0.014925373134328358,n,2
0.0,o,2
0.029850746268656716,p,2
0.0,q,2
0.08208955223880597,r,2
0.04477611940298507,s,2
0.022388059701492536,t,2
0.007462686567164179,u,2
0.14925373134328357,v,2
0.014925373134328358,w,2
0.022388059701492536,x,2
0.09701492537313433,y,2
0.09701492537313433,z,2
0.05223880597014925,a,3
0.007462686567164179,b,3
0.014925373134328358,c,3
0.022388059701492536,d,3
0.11194029850746269,e,3
0.022388059701492536,f,3
0.029850746268656716,g,3
0.05970149253731343,h,3
0.11194029850746269,i,3
0.0,j,3
0.0,k,3
0.06716417910447761,l,3
0.05223880597014925,m,3
0.07462686567164178,n,3
0.05223880597014925,o,3
0.03731343283582089,p,3
0.0,q,3
0.05223880597014925,r,3
0.05970149253731343,s,3
0.08208955223880597,t,3
0.022388059701492536,u,3
0.022388059701492536,v,3
0.014925373134328358,w,3
0.0,x,3
0.022388059701492536,y,3
0.007462686567164179,z,3
0.0,a,4
0.0,b,4
0.05223880597014925,c,4
0.06716417910447761,d,4
0.08208955223880597,e,4
0.08208955223880597,f,4
0.03731343283582089,g,4
0.0,h,4
0.05970149253731343,i,4
0.029850746268656716,j,4
0.08208955223880597,k,4
0.022388059701492536,l,4
0.022388059701492536,m,4
0.022388059701492536,n,4
0.0,o,4
0.029850746268656716,p,4
0.007462686567164179,q,4
0.022388059701492536,r,4
0.0,s,4
0.029850746268656716,t,4
0.014925373134328358,u,4
0.1417910447761194,v,4
0.029850746268656716,w,4
0.022388059701492536,x,4
0.06716417910447761,y,4
0.07462686567164178,z,4
0.09022556390977443,a,5
0.0,b,5
0.022556390977443608,c,5
0.03007518796992481,d,5
0.12030075187969924,e,5
0.03007518796992481,f,5
0.03007518796992481,g,5
0.03007518796992481,h,5
0.09774436090225563,i,5
0.0,j,5
0.007518796992481203,k,5
0.05263157894736842,l,5
0.0,m,5
0.05263157894736842,n,5
0.08270676691729323,o,5
0.03007518796992481,p,5
0.0,q,5
0.09022556390977443,r,5
0.09022556390977443,s,5
0.05263157894736842,t,5
0.03759398496240601,u,5
0.007518796992481203,v,5
0.015037593984962405,w,5
0.0,x,5
0.03007518796992481,y,5
0.0,z,5
