rf,letter,distribution
0.019305019305019305,a,1
0.07722007722007722,b,1
0.003861003861003861,c,1
0.0,d,1
0.023166023166023165,e,1
0.023166023166023165,f,1
0.07335907335907337,g,1
0.10038610038610038,h,1
0.03474903474903475,i,1
0.011583011583011582,j,1
0.0888030888030888,k,1
0.05791505791505792,l,1
0.04633204633204633,m,1
0.04633204633204633,n,1
0.007722007722007722,o,1
0.0,p,1
0.0,q,1
0.0,r,1
0.003861003861003861,s,1
0.18146718146718147,t,1
0.007722007722007722,u,1
0.011583011583011582,v,1
0.03861003861003861,w,1
0.138996138996139,x,1
0.0,y,1
0.003861003861003861,z,1
0.0,a,2
0.003861003861003861,b,2
0.0,c,2
0.003861003861003861,d,2
0.12355212355212356,e,2
0.011583011583011582,f,2
0.07335907335907337,g,2
0.05791505791505792,h,2
0.11969111969111969,i,2
0.007722007722007722,j,2
0.011583011583011582,k,2
0.023166023166023165,l,2
0.05405405405405406,m,2
0.003861003861003861,n,2
0.0,o,2
0.019305019305019305,p,2
0.04633204633204633,q,2
0.06563706563706563,r,2
0.08108108108108109,s,2
0.015444015444015444,t,2
0.015444015444015444,u,2
0.06563706563706563,v,2
0.10424710424710425,w,2
0.04247104247104247,x,2
0.03474903474903475,y,2
0.015444015444015444,z,2
0.13513513513513514,a,3
0.03088803088803089,b,3
0.011583011583011582,c,3
0.07335907335907337,d,3
0.09266409266409266,e,3
0.05791505791505792,f,3
0.04247104247104247,g,3
0.011583011583011582,h,3
0.0,i,3
0.011583011583011582,j,3
0.003861003861003861,k,3
0.0,l,3
0.14671814671814673,m,3
0.0,n,3
0.02702702702702703,o,3
0.05019305019305019,p,3
0.10810810810810811,q,3
0.003861003861003861,r,3
0.007722007722007722,s,3
0.023166023166023165,t,3
0.06563706563706563,u,3
0.0,v,3
0.0,w,3
0.03474903474903475,x,3
0.04247104247104247,y,3
0.019305019305019305,z,3
0.02702702702702703,a,4
0.06177606177606178,b,4
0.05405405405405406,c,4
0.07335907335907337,d,4
0.019305019305019305,e,4
0.02702702702702703,f,4
0.07335907335907337,g,4
0.07335907335907337,h,4
0.04633204633204633,i,4
0.0694980694980695,j,4
0.0,k,4
0.0,l,4
0.003861003861003861,m,4
0.0,n,4
0.003861003861003861,o,4
0.15057915057915058,p,4
0.011583011583011582,q,4
0.04633204633204633,r,4
0.03474903474903475,s,4
0.16602316602316602,t,4
0.007722007722007722,u,4
0.003861003861003861,v,4
0.003861003861003861,w,4
0.04247104247104247,x,4
0.0,y,4
0.0,z,4
0.06976744186046512,a,5
0.04263565891472868,b,5
0.08914728682170543,c,5
0.027131782945736434,d,5
0.01937984496124031,e,5
0.05813953488372093,f,5
0.08139534883720931,g,5
0.050387596899224806,h,5
0.07364341085271318,i,5
0.011627906976744186,j,5
0.0,k,5
0.0,l,5
0.0,m,5
0.003875968992248062,n,5
0.12015503875968993,o,5
0.015503875968992248,p,5
0.03875968992248062,q,5
0.04263565891472868,r,5
0.12015503875968993,s,5
0.015503875968992248,t,5
0.007751937984496124,u,5
0.015503875968992248,v,5
0.06976744186046512,w,5
0.0,x,5
0.0,y,5
0.027131782945736434,z,5
0.0,a,6
0.0,b,6
0.007751937984496124,c,6
0.05813953488372093,d,6
0.05813953488372093,e,6
0.1124031007751938,f,6
0.03488372093023256,g,6
0.011627906976744186,h,6
0.04263565891472868,i,6
0.10077519379844961,j,6
0.03875968992248062,k,6
0.03875968992248062,l,6
0.01937984496124031,m,6
0.0,n,6
0.003875968992248062,o,6
0.0,p,6
0.0,q,6
0.1124031007751938,r,6
0.007751937984496124,s,6
0.031007751937984496,t,6
0.031007751937984496,u,6
0.17054263565891473,v,6
0.007751937984496124,w,6
0.011627906976744186,x,6
0.023255813953488372,y,6
0.07751937984496124,z,6
0.12790697674418605,a,7
0.007751937984496124,b,7
0.05813953488372093,c,7
0.04263565891472868,d,7
0.1434108527131783,e,7
0.015503875968992248,f,7
0.007751937984496124,g,7
0.007751937984496124,h,7
0.09302325581395349,i,7
0.0,j,7
0.0,k,7
0.01937984496124031,l,7
0.03488372093023256,m,7
0.05426356589147287,n,7
0.10852713178294573,o,7
0.01937984496124031,p,7
0.01937984496124031,q,7
0.03875968992248062,r,7
0.07364341085271318,s,7
0.046511627906976744,t,7
0.05426356589147287,u,7
0.01937984496124031,v,7
0.0,w,7
0.0,x,7
0.0,y,7
0.007751937984496124,z,7
0.01937984496124031,a,8
0.007751937984496124,b,8
0.08527131782945736,c,8
0.06589147286821706,d,8
0.07364341085271318,e,8
0.06201550387596899,f,8
0.015503875968992248,g,8
0.0,h,8
0.0,i,8
0.0,j,8
0.007751937984496124,k,8
0.08527131782945736,l,8
0.011627906976744186,m,8
0.03488372093023256,n,8
0.031007751937984496,o,8
0.13565891472868216,p,8
0.007751937984496124,q,8
0.011627906976744186,r,8
0.023255813953488372,s,8
0.07364341085271318,t,8
0.0,u,8
0.0,v,8
0.015503875968992248,w,8
0.06589147286821706,x,8
0.06589147286821706,y,8
0.10077519379844961,z,8
